s.no.,Place name,Category/Vibe,Budget_Level,Entry_Fee,Avg_Expense,Time_Needed_hr,Best_Time_to_Visit,Description,Latitude,Longitude
1,Marina Beach,"Peaceful,Relaxing,Scenic",Low,0,100,2-3 hr,Morning/Evening,"India’s longest beach, famous for sunrise/sunset walks, cultural landmarks, and street food.",13.05907,80.28511
2,Besant Nagar Beach (Elliot’s Beach),"Youthful, Foodie,Peaceful",Medium,0,200-400,2-3 hr,Evening,"Popular among youngsters and couples, with cafes and restaurants nearby.",12.99596,80.26796
3,Kovalam Beach (Blue Flag),"Adventure,Natural,Relaxing",Medium,50-100,500-800,Half-day,Morning/Evening,Surfing hotspot and fishing village with water sports.,12.8015045310775,80.2491971711637
4,VGP Golden Beach,"Fun, Family, Adventure",High,450–600,600–1000,Half-day,Evening,"A private beach maintained by VGP Universal Kingdom. Known for clean sands, entertainment shows, and amusement rides. Popular for family outings and group hangouts.",12.9168095629878,80.2548322047107
5,Thalankuppam Pier,"Peaceful, Offbeat, Scenic",Low,0,100,2-3 hr,Sunrise/Evening,"Hidden pier near Ennore, best for sunrise and photography.",13.2320114040224,80.3315277
6,Nettukuppam Viewpoint,"Scenic, Peaceful, Romantic",Low,0,100,2-3 hr,Sunrise/Evening,"Northernmost tip of Chennai, known for panoramic sea views.",13.2343404044041,80.3319890399219
7,Mahabalipuram Beach,"Historical, Adventure, Scenic",Medium,40,300-600,Full-day,Morning/Evening,"UNESCO heritage town with temples + beach, good for day trips.",12.6132930642671,80.196837647344
8,Sadras Beach,"Peaceful, Offbeat, Scenic",Low,0,100-200,2-3 hr,Evening,"Clean and quiet beach away from city crowds, historic fort nearby.",12.528830533878,80.1654761828107
9,Semmozhi Poonga Park,"Relaxing, Family, Natural",Low,20-50,100-200,2-3 hr,Morning/Evening,"Botanical garden in the heart of the city, with themed landscapes.",13.0507879412403,80.2514128
10,Guindy National Park,"Natural, Adventure, Educational",Medium,20-50,100-200,2-3 hr,Morning,Small forest reserve inside city limits with wildlife and greenery.,13.0089392687299,80.2380441591867
11,Anna Zoological Park (Vandalur Zoo),"Family, Natural, Educational",Medium,50-100,300-500,Half-day,Morning,"One of the largest zoos in South Asia, famous for wide animal collection.",12.8803496369529,80.0809134541566
12,Chetpet Eco Park & Lake,"Relaxing, Boating, Family",Medium,25-50,200-300,Half-day,Evening,"Urban lake with boating, eco-friendly walking tracks.",13.077168625441,80.2410835997275
13,Nanmangalam Reserve Forest,"Nature, Birdwatching, Offbeat",Low,0,100,2-3 hr,Morning,"Protected reserve, popular among birdwatchers and nature lovers.",12.9270607106934,80.1719038074057
