Route_Id,bus_details,route,
1101,19B-Towards-saidapet,4032 4033 4034 4035 4036 4037 4038 4039 4040 4041 4042 4043 4044 4045 4046 4047 4048 4049 4050 4051 4052 4053 4054 4055 4056 4057 4058 4059 4060 4061 4062 4063 4064,
1102,19B-Towards-Kelambakkam,4000 4001 4002 4003 4004 4005 4006 4007 4008 4009 4010 4011 4012 4013 4014 4015 4016 4017 4018 4019 4020 4021 4022 4023 4024 4025 4026 4027 4028 4029 4030 4031,"{""4020"":3002,""1514"":3001}"
1405,500-Tambaram to Chengelpet,4096 4097 4098 4099 4100 4101 4102 4103 4104 4105 4106 4107 4108 4109 4110 4111 4112 4113 4114 4115 4116 4117 4118 4119 4120 4121 4122 4123 4124 4125 4126 4127,
1406,500-Chengelpet to Tambaram,4128 4129 4130 4131 4132 4133 4134 4135 4136 4137 4138 4139 4140 4141 4142 4143 4144 4145 4146 4147 4148 4149 4150 4151 4152 4153 4154 4155 4156 4157 4158 4159 4160,
333,5C -Towards-Broadway,1505 1506 1508 649 201 578 527 480 1510,
444,5C -Towards-Taramani,1511 520 527 578 1509 649 1508 1512 1505,
1210,IITM - towards Jam,2001 2002 2003 2000,
1211,Main Gate,2000 2003 2002 2001,
1301,154-Towards-PATTUR,3395 3293 3396 3522 3391 3580 3611 3309 3485 3397 3398 3140 3399 3310 3322 3670 3323 3141 3324 3325 3400 3312 3109 3311 3633 3326 3327 3117 3328 3329 3330 3331 3332 3333 3607,
1302,154-Towards-T.NAGAR,3607 3334 3335 3488 3635 3489 3336 3608 3450 3553 3118 3401 3554 3402 3609 3673 3337 3338 3490 3339 3142 3111 3340 3403 3341 3112 3113 3114 3392 3186 3265 3394 3395,
1303,21D-Towards-BROADWAY,3295 3224 3205 3185 3666 3206 3667 3469 3136 3223 3549 3207 3137 3550 3569 3463 3668 3275 3208 3466 3598 3209 3619 3276 3100,
1304,21D-Towards-THIRUVANMIYUR,3100 3134 3210 3684 3133 3367 3211 3217 3212 3565 3464 3135 3213 3465 3218 3620 3467 3214 3428 3671 3672 3226 3295,
1305,21L-Towards-BROADWAY,3381 3653 3356 3479 3222 3591 3533 3522 3294 3627 3385 3429 3618 3223 3207 3137 3550 3463 3668 3466 3669 3372 3100,
1306,21L-Towards-VELACHERY,3100 3134 3210 3367 3212 3565 3464 3135 3213 3218 3566 3389 3426 3661 3523 3219 3443 3524 3352 3381,
1308,221H-Towards-THIRUPPORUR,3701 3595 3319 3477 3688 3294 3242 3645 3646 3503 3628 3343 3507 3359 3508 3454 3510 3511 3512 3448 3714 3514,
1309,23C-Towards-AYANAVARAM B.S,3438 3214 3428 3290 3566 3389 3318 3186 3115 3481 3421 3541 3417 3128 3104 3116 3621 3482 3483 3157 3155 3680 3125 3126 3161 3410 3484 3158 3193,
1310,23C-Towards-BESANT NAGAR,3106 3679 3681 3625 3462 3107 3108 3159 3160 3215 3413 3468 3540 3320 3477 3596 3478 3138 3110 3688 3522 3294 3627 3385 3429 3203 3666 3206 3438,
1312,47A-Towards-I.C.F,3438 3280 3365 3426 3441 3307 3292 3101 3472 3542 3405 3447 3445,
1313,57-Towards-RED HILLS,3538 3719 3710 3513 3594 3499 3169 3171 3516 3530 3480 3172 3173 3486 3720 3544 3174 3271 3170 3175 3461 3623 3624 3526,
1314,57-Towards-V. NAGAR,3272 3176 3494 3177 3273 3274 3515 3178 3721 3713 3179 3180 3181 3722 3497 3182 3723 3498 3711 3724 3725 3719 3476 3690,
1316,5A-Towards-T.NAGAR,3531 3259 3260 3556 3261 3562 3567 3262 3568 3626 3532 3375 3376 3355 3377 3378 3379 3303 3380 3381 3653 3479 3610 3689 3308 3186 3425 3395,
1317,5B-Towards-MYLAPORE,3395 3293 3396 3522 3294 3627 3385 3365 3618 3223 3386 3120 3121 3648 3122 3123,
1318,5B-Towards-T NAGAR,3414 3387 3388 3119 3218 3437 3566 3427 3347 3318 3393 3265 3390 3395,
1319,5E-Towards-BESANT NAGAR,3564 3491 3545 3267 3129 3103 3434 3130 3268 3433 3432 3431 3266 3150 3430 3418 3420 3543 3293 3342 3522 3294 3627 3687 3365 3629 3185 3666 3206 3438,
1320,5E-Towards-VADAPALANI B.S,3438 3214 3428 3291 3566 3389 3318 3186 3115 3394 3543 3420 3419 3682 3430 3102 3683 3424 3423 3131 3422 3269 3132 3270 3570 3435 3709 3660,
1321,7B-Towards-KORATTUR,3372 3700 3105 3520 3229 3184 3230 3622 3189 3190 3191 3192 3231 3193 3194 3195 3409 3196 3127 3143 3407 3677 3154 3232 3197 3233 3234 3728 3729 3730 3731 3732 3733,
1322,7B-Towards-PARRYS,3449 3734 3735 3736 3737 3738 3739 3740 3451 3502 3678 3406 3407 3408 3446 3198 3235 3236 3227 3537 3492 3187 3188 3228 3686 3622 3237 3183 3727 3144 3204 3640,
1323,A51-Towards-HIGH COURT,3531 3259 3260 3556 3261 3562 3262 3563 3532 3376 3355 3377 3378 3379 3303 3741 3602 3610 3308 3186 3115 3421 3417 3685 3104 3116 3264 3621 3415 3238 3411,
1324,A51-Towards-TAMBARAM EAST,3100 3412 3416 3595 3413 3468 3540 3477 3596 3478 3396 3522 3523 3219 3657 3600 3601 3304 3639 3525 3373 3374 3665 3353 3354 3527 3528 3459 3255 3256 3561 3257 3258 3529,
