Stop_id,Stop Name,Lat,Lng
0,CEMENTRY(MANDAVELI),13.0299,80.26191
3,A.M.S.Hospital,13.01647,80.25963
5,RoyapettaHospital,13.05377,80.26564
9,SrinivasaTheater,13.031,80.22432
12,SAIDAPET,13.021571,80.226036
14,SAIDAPET_WEST,13.02496,80.21951
18,Cipet,13.01384,80.20436
19,BharathElectronics,13.01645,80.19002
20,Ramapuram,13.02112,80.18346
21,A.G.SOfficeColony,12.98298,80.21022
26,I.R.T.Rd.Jn.,12.98156,80.23976
30,MadipakkamB.S,12.96575,80.20187
31,A.V.Construction,12.96475,80.2117
33,Hasthinapuram,12.94024,80.15067
40,CowlBazaar,12.98871,80.14213
41,Pozhichalur,12.98984,80.14183
45,Pazhanthandalam,12.95856,80.07892
46,Noothancheri,12.90084,80.16852
47,MahalakshmiNagar,12.92292,80.14775
48,VeerabadraNagar,12.90519,80.18824
49,NanmabgalamRd.Jn.,12.91711,80.192
50,PerumbakkamLimit,12.90745,80.20088
51,SozhinganallurP.U.Office,12.90117,80.22569
52,BesantNagar,13.00033,80.26676
53,AdayarDepot,12.99832,80.25612
54,Thiruvanmiyur,12.98688,80.2589
56,Palavakkam,12.9568,80.25487
57,Kottivakkam,12.97027,80.25805
58,Vettuvankanni,12.93781,80.25247
59,MOOTAKARAN_CHAVADI,12.92995,80.23109
60,Injambakkam,12.91698,80.25092
61,UthandiVillage,12.87607,80.24311
62,Kovalam,12.78667,80.24991
63,ChemmancheryS.C.B.,12.8759,80.20826
64,Navalur,12.84525,80.22648
65,PallavanNagar,12.91539,80.19436
66,KovilamcherryVillage,12.88226,80.17101
67,Chitlapakkam,12.88725,80.18423
68,Keerapakkam,12.82791,80.16533
69,VengambakkamVillage,12.86852,80.13053
70,Kolapakkam,12.87088,80.10544
72,Manivakkam,12.89548,80.06166
74,VandaloorZoo,12.87933,80.08046
75,VazhuthalambeduRd.Jn,12.96776,80.10226
80,ManapakkamVillage,13.01208,80.16666
81,Kuthambakkam,13.05682,80.03222
82,Andersonpet,13.07814,80.0251
92,AnnaPoornaHotel/DamsRd,13.06844,80.26963
94,LadyMctmSchool/Millers,13.08466,80.24985
95,Naduvankarai,13.07705,80.21067
96,Arumbakkam,13.07638,80.20273
98,AnnaNagarCircle,13.08466,80.21779
102,Sayani/Aynavaram,13.09683,80.24182
105,Shivashanmugapuram,13.09476,80.25107
109,Regal,13.09277,80.27513
113,V.Nagar,13.10556,80.27989
116,MogapairWest,13.08282,80.17033
119,AthipetI.C.F.Colony,13.09302,80.14621
120,KoladiSchool,13.08658,80.13256
121,Ayanambakkam,13.07304,80.1529
123,Kolappanchery,13.07923,80.07265
124,Thandarai,13.11208,80.06235
125,VeppumpattuPuliyamaram,13.12654,80.01278
126,Veppampattu,13.12521,79.99892
128,Kosapalayam,13.09419,80.02055
130,Pattabiram,13.12103,80.06475
131,Madanakuppam,13.13532,80.19103
132,Kallikuppam,13.13231,80.17299
135,T.V.K.Nagar,13.12119,80.23255
137,SarmaNagar,13.12153,80.25298
141,TheagarayaCollege,13.11662,80.28379
148,KorukkupetR.S,13.11856,80.27804
154,Thangal,13.14573,80.29731
155,I.O.html,13.14104,80.28246
156,CoronationNagar,13.13235,80.27987
157,AshokLayland,13.20797,80.31609
158,Ennore,13.21805,80.3201
159,PammadukulamColony,13.19382,80.17333
162,ValliyurSchool,13.21697,80.00493
163,Kasanoor,13.20352,80.02939
164,Padiyanallur,13.20736,80.1729
165,Semilivaram,13.22457,80.16638
166,Vichoor,13.21808,80.24624
167,AmmanKulam,13.20636,80.25006
172,Secretariat,13.07965,80.28791
174,Doveton,13.08704,80.25886
181,Corpn.PlayGround,13.05203,80.25787
191,U.S.I.S.,13.05055,80.25221
192,D.M.S,13.04727,80.24968
196,Gemini%20P.html,13.05229,80.25123
198,F.C.IOld,13.03791,80.25668
201,C.I.T._COLONY,13.04153,80.25868
214,AdayarO.T.,13.00644,80.25751
216,AvvaiHome,13.0074,80.25976
220,Y.M.I.A,13.04454,80.26744
225,MaternityHospital,13.0707,80.25813
227,MinjurB.D.O,13.27687,80.25959
228,Pollachiammankulam,13.40231,80.2771
230,Pazhaverkadu,13.41817,80.31487
234,Pattamandiri,13.26267,80.27384
236,Kondakkarai,13.24228,80.27384
237,Gnayaru,13.26125,80.21419
238,Pudukuppam,13.27504,80.19857
239,ArumandaiRd.Jn.,13.22833,80.21779
240,Perungavoor,13.21747,80.21921
241,Pallavaram,12.96809,80.14887
244,LATTICE_BRIDGE,12.98198,80.25272
255,Kosappur,13.18371,80.23438
256,Ariyalur,13.19098,80.25152
257,Velangadupakkam,13.19675,80.2211
258,Napalayam,13.22123,80.27264
261,SathiyamoorthyNagar,13.17845,80.29633
264,TNagar,13.03495,80.23051
272,AvadiMosque,13.11576,80.10484
274,2NdWaterTankOnSecond,13.09896,80.13239
275,H.V.F.MainGate,13.14205,80.08767
276,VengalCrossRoad,13.16661,80.09841
277,AvadiCircle,13.11977,80.10269
278,Morai,13.17715,80.07653
279,KadhavoorRd.Jn.,13.18622,80.05892
280,Thirunindravoor,13.12446,80.03143
281,KesavaCrossRoad,13.18028,80.02922
282,Veerapuram,13.18605,80.08368
283,Polytechnic,13.12596,80.119
284,GuruvoyalKaranibattai,13.21354,80.06355
285,Kavaraipalayam,13.11935,80.07986
288,Ambathur,13.12165,80.14861
289,OragadamO.T.,13.12429,80.15093
291,AmbOt,13.11969,80.15003
293,Vengatapuram,13.11864,80.15754
295,Menambedu,13.12592,80.16831
296,Pudur,13.13039,80.15857
297,SenthilNagar,13.1204,80.14007
298,Surapedu,13.1446,80.18818
299,Vinayagapuram,13.13896,80.20659
300,ScrewFactory,13.15894,80.19699
301,Kolathur/NehruRdJn,13.13003,80.2141
302,CycleShop,13.15504,80.20577
303,Korattur,13.1125,80.18354
305,LucasTvs,13.10188,80.19299
307,ElangoNagarOfficerColo,13.09106,80.185
308,MogapairEast,13.08008,80.1802
309,CollectorNagar,13.08771,80.19015
310,Nerkundram,13.07162,80.18569
311,GoldenFlat,13.08901,80.17084
313,AmbathurEstate,13.09971,80.1699
317,JN.OF_CENTRAL_AVENUE,13.09794,80.17663
319,AyyappaNagar,13.09779,80.14054
320,VilinjambakkamAmmanKoil,13.11605,80.09647
323,Dunlop,13.10531,80.15222
324,Senneerkuppam,13.06853,80.11239
325,Thiruverkadu,13.06906,80.1242
327,KonimeduRd.Jn.,13.08838,80.12303
328,AthipetJn,13.08901,80.16174
336,VinayagarKoil,13.10113,80.16329
337,Karakku,13.11764,80.16934
338,Thirumullaivoayl,13.13076,80.13306
339,VellalaStreet,13.10329,80.18629
340,Arikambedu,13.16273,80.12999
342,AlamadhiOld,13.20101,80.14389
343,Alamadhi,13.20602,80.1166
345,RedHills,13.1914,80.18552
346,Kummanur,13.21856,80.19539
347,Budur,13.23878,80.19479
348,Vazhuthunaimedu,13.26359,80.22972
349,Periamullaivoyal,13.2478,80.23075
350,KaranodaiSchool,13.24713,80.15737
351,Seemavaram,13.26075,80.25217
352,SholavaramP.S.,13.24103,80.16028
353,Sothupermedu,13.25415,80.17127
354,Echankuzhi,13.20322,80.27006
355,Vadaperumbakkam,13.17494,80.21547
358,Chettimedu,13.18563,80.222
359,Kavangarai,13.16959,80.19959
360,AayurvedaAshramam,13.18212,80.1929
363,Andakuppam,13.19197,80.26953
364,ThiruvetriyurB.S,13.17224,80.30546
365,Royapuram,13.1213,80.29354
366,RoyapuramP.S,13.10893,80.29177
368,ThambuchettySt,13.10275,80.29059
371,Jn.OfPonneriRd,13.17769,80.27023
372,I.C.I.,13.19055,80.3136
373,ManaliRdJn.,13.1614,80.26886
375,KodungaiyurParvathinagar,13.14568,80.25049
376,Sidco,13.13097,80.25135
377,KaviarasuKannadasanNaga,13.13649,80.25581
381,Manali,13.17076,80.25667
382,T.V.TRlyGate,13.15559,80.29199
384,MadahvaramVillage,13.14853,80.23006
385,Madhavaram,13.13766,80.22955
386,MadhavaramMillkColony,13.15187,80.24208
387,KodungaiyurO.T.,13.13858,80.24345
388,MadhavaramPostBox,13.14284,80.23624
392,Moolakadai,13.1293,80.24131
393,S.R.P.Colony,13.12169,80.22371
400,WATERPIPE_THANTHANKUPPAM,13.12061,80.19899
401,Poombuhar,13.12394,80.21225
402,SRINIVASA_NAGAR,13.11863,80.20646
403,SidcoNagar,13.10876,80.20552
405,PeriyarNagar,13.11434,80.22371
409,G.K.M.Colony,13.11024,80.22277
410,Veenus,13.114,80.23504
415,NathamuniTalkies,13.10347,80.20294
418,KamabarArangam,13.09883,80.22294
424,SlumClearanceBoard,13.12299,80.27746
425,EzhilNagar,13.13333,80.26275
427,M.K.B.NagarEast,13.12295,80.2656
